source,target
Enrico A. Colosimo,Maristela Dias De Oliveira
P. J. De Jongh,Tertius De Wet
Robert F. Balshaw,Charmaine Dean
Christophe Croux,Catherine Dehon
Laurens De Haan,Arnold L. M. Dekkers
Pedro C. Álvarez-esteban,Eustasio Del Barrio
Juan Antonio Cuesta,Eustasio Del Barrio
Julio Angel Pardo,María Del Carmen Pardo
Raymond Carroll,Aurore Delaigle
Gauss M. Cordeiro,Clarice G. B. Demétrio
Erwin Bolthausen,Frank Den Hollander
Manohar Aggarwal,Lih-yuan Deng
Chih Kang Chu,Wen-shuenn Deng
Herold Dehling,Manfred Denker
Willa W. Chen,Rohit Deo
Rebecca Betensky,Stacia M. Desantis
Brent Coull,Stacia M. Desantis
Stefanie Biedermann,Holger Dette
Melanie Birke,Holger Dette
Nicolai Bissantz,Holger Dette
Frank Bretz,Holger Dette
Axel Bücher,Holger Dette
Erwin Bolthausen,Jean-dominique Deuschel
Louigi Addario-berry,Luc Devroye
Gérard Biau,Luc Devroye
Paul Deheuvels,Luc Devroye
Kashinath Chatterjee,Aloke Dey
Ashish Das,Aloke Dey
Karthik Bharath,Dipak Dey
Ming-hui Chen,Dipak Dey
Athanasios Christou Micheas,Dipak Dey
Younshik Chung,Dipak Dey
Ciprian Crainiceanu,Chongzhi Di
A. E. Ades,Sofia Dias
Dankmar Böhning,E. Jacquelin Dietz
Patrick Brown,Peter Diggle
Amanda G. Chetwynd,Peter Diggle
Yuguo Chen,Ian Dinwoodie
Dennis W. Buckman,Kevin W. Dodd
Raymond Carroll,Kevin W. Dodd
David Birkes,Yadolah Dodge
Jean Bertoin,Ron Doney
Loïc Chaumont,Ron Doney
Shelley B. Bull,Allan Donner
Alan Donald,Allan Donner
Jafar Ahmadi,Mahdi Doostparast
Ray Chambers,Alan Dorfman
Olivier Cappé,Randal Douc
Christophe Andrieu,Arnaud Doucet
Pierre Del Moral,Arnaud Doucet
Angela Dean,Norman Draper
Laurens De Haan,Holger Drees
Christopher J. Brignell,Ian Dryden
Wen Cheng,Ian Dryden
Daniel Commenges,Julia Drylewicz
Michael Akritas,Yunling Du
Huaihou Chen,Naihua Duan
Tony Hsiu-hsi Chen,Stephen W. Duffy
Jack Cuzick,Stephen W. Duffy
Nicholas E. Day,Stephen W. Duffy
Artin Armagan,David Dunson
Donna Baird,David Dunson
