source,target
Samuel Karlin,Yosef Rinott
Yaakov Malinovsky,Yosef Rinott
Micha Mandel,Yosef Rinott
Jérôme Dedecker,Emmanuel Rio
David Assaf,Yaacov Ritov
Peter Bickel,Yaacov Ritov
Zvi Gilula,Yaacov Ritov
Yair Goldberg,Yaacov Ritov
Eitan Greenshtein,Yaacov Ritov
Wolfgang Härdle,Yaacov Ritov
Christian Bressen Pipper,Christian Ritz
Sophie Baillargeon,Louis-paul Rivest
Hélène Crépeau,Louis-paul Rivest
Gaétan Daigle,Louis-paul Rivest
Christian Genest,Louis-paul Rivest
Lajmi Lakhal-chaieb,Louis-paul Rivest
Emmanuel Lesaffre,Dimitris Rizopoulos
Olivier Cappé,Christian Robert
George Casella,Christian Robert
Gilles Celeux,Christian Robert
Randal Douc,Christian Robert
Dominique Fourdrinier,Christian Robert
Arnaud Guillin,Christian Robert
James P. Hobert,Christian Robert
Jiunn Tzon Hwang,Christian Robert
Tatsuya Kubokawa,Christian Robert
Jean-michel Marin,Christian Robert
Kerrie Mengersen,Christian Robert
Anne Philippe,Christian Robert
Nicoletta Cancrini,Cyril Roberto
Nathael Gozlan,Cyril Roberto
Fabio Martinelli,Cyril Roberto
Alexandros Beskos,Gareth Roberts
Steve 1 Brooks,Gareth Roberts
Petros Dellaportas,Gareth Roberts
Paul Fearnhead,Gareth Roberts
Omiros Papaspiliopoulos,Gareth Roberts
Nicholas Polson,Gareth Roberts
Michael Martin,Steven Roberts
Richard Dykstra,Tim Robertson
Subhash Kochar,Tim Robertson
Chu In Charles Lee,Tim Robertson
Babette Brumback,James Robins
Richard Gill,James Robins
Sander Greenland,James Robins
Miguel A. Hernán,James Robins
Lingling Li,James Robins
Chris Field,John Robinson
Zhishui Hu,John Robinson
Rungao Jin,John Robinson
John Kolassa,John Robinson
Chunsheng Ma,John Robinson
M. P. Quine,John Robinson
Liudas Giraitis,Peter M. Robinson
Wendy Leisenring,Leslie L. Robison
Cavell Brownie,Douglas S. Robson
Carlos Acuña,Javier Roca-pardiñas
Carmen Cadarso-suárez,Javier Roca-pardiñas
Ana Bianco,Isabel M. Rodrigues
Graciela Boente,Isabel M. Rodrigues
Ana Pires,Isabel M. Rodrigues
Narayanaswamy Balakrishnan,Josemar Rodrigues
Heleno Bolfarine,Josemar Rodrigues
Patrick Borges,Josemar Rodrigues
Vicente G. Cancho,Josemar Rodrigues
Gauss M. Cordeiro,Josemar Rodrigues
Mário De Castro,Josemar Rodrigues
Carmen Cadarso-suárez,María Xosé Rodríguez-álvarez
Julián De La Horra,María Teresa Rodríguez-bernal
Richard Davis,Gabriel Rodriguez-yam
Jacobo De Uña-álvarez,Alberto Rodríguez Casal
David Dunson,Abel Rodriguez
Alan Gelfand,Abel Rodriguez
Graciela Boente,Daniela Rodriguez
Wenceslao González-manteiga,Daniela Rodriguez
Daniel Peña,Julio Rodríguez
Bernie Devlin,Kathryn Roeder
Bruce Lindsay,Kathryn Roeder
Giovanni Pistone,Maria Piera Rogantin
Mike Kenward,James H. Roger
T. V. Ramanathan,Neelabh Rohan
Stephen W. Duffy,Thomas E. Rohan
K. Krishnamoorthy,Vijay Rohatgi
Edsel Peña,Vijay Rohatgi
Brian Caffo,Charles Rohde
Leena Choi,Charles Rohde
Alain Berlinet,Christophe Roland
Thomas Diciccio,Joseph Romano
Peter Hall,Joseph Romano
Dimitris Politis,Joseph Romano
Lajmi Lakhal-chaieb,Hela Romdhani
Andrés M. Alonso,Juan Romo
Antonio Cuevas,Juan Romo
Sara López-pintado,Juan Romo
Daniel Peña,Juan Romo
Eva Cantoni,Elvezio Ronchetti
Chris Field,Elvezio Ronchetti
Luis Hernando Vanegas,Luz Marina Rondon
Tien Chung Hu,Andrew Rosalsky
Deli Li,Andrew Rosalsky
Richard Bass,Jay Rosen
Xia 1 Chen,Jay Rosen
Amir Dembo,Jay Rosen
Michael B. Marcus,Jay Rosen
Yuval Peres,Jay Rosen
Joseph L. Gastwirth,Paul R. Rosenbaum
Abba Krieger,Paul R. Rosenbaum
Scott Lorch,Paul R. Rosenbaum
Mitchell Gail,Philip S. Rosenberg
Nancy Flournoy,William F. Rosenberger
Linda M. Haines,William F. Rosenberger
Feifang Hu,William F. Rosenberger
Haiqun Lin,Robert Rosenheck
Gareth Roberts,Jeffrey Rosenthal
Shan Ba,V. Roshan Joseph
Vincent Carey,Bernard Rosner
Nancy R. Cook,Bernard Rosner
Robert J. Glynn,Bernard Rosner
Charles H. Hennekens,Bernard Rosner
Mei Ling Ting Lee,Bernard Rosner
Alvaro Muñoz,Bernard Rosner
Maria De Iorio,Gary Rosner
Peter Müller,Gary Rosner
Fernando Quintana,Gary Rosner
Yosef Rinott,Vladimir Rotar
Liliana Forzani,Adam Rothman
Elizaveta Levina,Adam Rothman
Peter Gilbert,Andrea Rotnitzky
James Robins,Andrea Rotnitzky
Fabrice Gamboa,Alain Rouault
Éric Moulines,François Roueff
Michael Akritas,George Roussas
Zongwu Cai,George Roussas
Dimitrios Ioannides,George Roussas
Lanh Tat Tran,George Roussas
Nicolas Chopin,Judith Rousseau
Chantal Guihenneuc-jouyaux,Judith Rousseau
Ross Mcvinish,Judith Rousseau
Kerrie Mengersen,Judith Rousseau
Darfiana Nur,Judith Rousseau
Christian Robert,Judith Rousseau
Christophe Croux,Peter Rousseeuw
Ola Hössjer,Peter Rousseeuw
Mia Hubert,Peter Rousseeuw
Greet Pison,Peter Rousseeuw
Theo Gasser,Valentin Rousson
Grace Chiu,Rick Routledge
Richard Lockhart,Rick Routledge
Mohammad Arashi,J. J. J. Roux
A. Bekker,J. J. J. Roux
Xavier Bardina,Carles Rovira
Peter Diggle,Barry Rowlingson
Finbarr Osullivan,Kingshuk Roy Choudhury
Michelle Danaher,Anindya Roy
Subhashis Ghosal,Anindya Roy
Joseph W. Hogan,Jason Roy
Xihong Lin,Jason Roy
Krishna B. Athreya,Vivekananda Roy
James P. Hobert,Vivekananda Roy
Odd Aalen,Kjetil Røysland
Jon Michael Gran,Kjetil Røysland
Bruno Ledergerber,Kjetil Røysland
Douglas G. Altman,Patrick Royston
Mahesh K. B. Parmar,Patrick Royston
Fabienne Comte,Yves Rozenholc
Daniel Krewski,Susana Rubin-bleuer
Arthur P. Dempster,Donald B. Rubin
Constantine Frangakis,Donald B. Rubin
Roee Gutman,Donald B. Rubin
Chuanhai Liu,Donald B. Rubin
Fabrizia Mealli,Donald B. Rubin
Xiao-li Meng,Donald B. Rubin
Paul R. Rosenbaum,Donald B. Rubin
Jeesen Chen,Herman Rubin
Anirban Dasgupta,Herman Rubin
James Carpenter,Gerta Rücker
David Madigan,Cynthia Rudin
Tyler H. Mccormick,Cynthia Rudin
Arnoldo Frigessi,Håvard Rue
Fred Godtliebsen,Håvard Rue
Leonhard Held,Håvard Rue
Merrilee Hurn,Håvard Rue
Finn Lindgren,Håvard Rue
Sara Martino,Håvard Rue
Thiago G. Martins,Håvard Rue
Andrea Riebler,Håvard Rue
Federico Oreilly,Raúl Rueda
Fadoua Balabdaoui,Kaspar Rufibach
F. J. Alonso,María D. Ruiz-medina
José M. Angulo,María D. Ruiz-medina
Vo Anh,María D. Ruiz-medina
M. P. Frías,María D. Ruiz-medina
Félix Belzunce,Jose M. Ruiz
Antonio Guillamón,Jose M. Ruiz
J. Marín,Jose M. Ruiz
Jorge Navarro,Jose M. Ruiz
José F. Pinar,Jose M. Ruiz
Nikolay Bliznyuk,David Ruppert
Raymond Carroll,David Ruppert
Ciprian Crainiceanu,David Ruppert
Yingxing Li,David Ruppert
Hua Liang,David Ruppert
Jean Opsomer,David Ruppert
Keith R. Abrams,Lesley Rushton
David R. Jones,Lesley Rushton
Jaime L. Peters,Lesley Rushton
John A. Eccleston,K. Russell
J. A. John,K. Russell
Susan Lewis,K. Russell
Peter Bühlmann,Philipp Rütimann
Peter Rousseeuw,Ida Ruts
Gentiane Haesbroeck,C. Ruwet
Kamal C. Chanda,Frits Ruymgaart
John H. J. Einmahl,Frits Ruymgaart
David S. Gilliam,Frits Ruymgaart
Madan Puri,Frits Ruymgaart
Scarlett Bellamy,Louise Ryan
Babette Brumback,Louise Ryan
Brent Coull,Louise Ryan
Els Goetghebeur,Louise Ryan
E. Andrés Houseman,Louise Ryan
Joseph Ibrahim,Louise Ryan
Myrto Lefkopoulou,Louise Ryan
Julie M. Legler,Louise Ryan
Yi 2 Li,Louise Ryan
Xihong Lin,Louise Ryan
Jane C. Lindsey,Louise Ryan
Geert Molenberghs,Louise Ryan
David Madigan,Patrick B. Ryan
Bani Mallick,Duchwan Ryu
Alan Agresti,Euijung Ryu
Joan Chmiel,A Saah
R Detels,A Saah
Donald R. Hoover,A Saah
Lawrence Kingsley,A Saah
Alvaro Muñoz,A Saah
J P Phair,A Saah
Leonhard Held,Daniel Sabanés Bové
Narasinga Rao Chaganty,Roy T. Sabo
Myunghee Cho Paik,Ralph Sacco
Arthur Cohen,Harold Sackrowitz
J. H. B. Kemperman,Harold Sackrowitz
John Kolassa,Harold Sackrowitz
Sanpei Kageyama,Gour Mohan Saha
Arup Bose,Koushik Saha
Rajat Subhra Hazra,Koushik Saha
Alan Gelfand,Sujit K. Sahu
Gareth Roberts,Sujit K. Sahu
Daniel Cooley,Stephan Sain
Reinhard Furrer,Stephan Sain
Matthew J. Heaton,Stephan Sain
Vo Anh,Lyudmyla Sakhno
Nikolai Leonenko,Lyudmyla Sakhno
Yasunori Fujikoshi,Tetsuro Sakurai
Dana Quade,Ibrahim Salama
Andrea Cipriani,Georgia Salanti
Orestis Efthimiou,Georgia Salanti
Julian P. T. Higgins,Georgia Salanti
Dimitris Mavridis,Georgia Salanti
Dani Gamerman,Esther Salazar
Hedibert F. Lopes,Esther Salazar
Mir Masoom Ali,A. K. Md. E. Saleh
Khatab M. Hassanein,A. K. Md. E. Saleh
B. M. Golam Kibria,A. K. Md. E. Saleh
Tatsuya Kubokawa,A. K. Md. E. Saleh
Vijay Rohatgi,A. K. Md. E. Saleh
Maria Luisa Menéndez,Miquel Salicrú
Domingo Morales,Miquel Salicrú
Leandro Pardo,Miquel Salicrú
Yudi Pawitan,Agus Salim
Marie Reilly,Agus Salim
Luigi Pace,Alessandra Salvan
Ray Chambers,Nicola Salvati
Hukum Chandra,Nicola Salvati
Russell A. Boyles,Francisco J. Samaniego
Subhash Kochar,Francisco J. Samaniego
Paul Kvam,Francisco J. Samaniego
Hari Mukerjee,Francisco J. Samaniego
Andrew Neath,Francisco J. Samaniego
Javier Rojo,Francisco J. Samaniego
Subhashis Ghosal,Tapas Samanta
Jayanta K. Ghosh,Tapas Samanta
Mohammad F. Al-saleh,Hani Samawi
Amal Helu,Hani Samawi
Francesca Dominici,Jonathan M. Samet
Michael Elliott,Mary D. Sammel
Louise Ryan,Mary D. Sammel
Robert Adler,Gennady Samorodnitsky
Thomas Mikosch,Gennady Samorodnitsky
Sidney Resnick,Gennady Samorodnitsky
Jan Rosiński,Gennady Samorodnitsky
Huiman X. Barnhart,Allan Sampson
Henry W. Block,Allan Sampson
Devendra Chhetry,Allan Sampson
Zhao Ben Fang,Allan Sampson
George Kimeldorf,Allan Sampson
Fabienne Comte,Adeline Samson
Marc Lavielle,Adeline Samson
France Mentré,Adeline Samson
Nathael Gozlan,Paul-marie Samson
Cyril Roberto,Paul-marie Samson
David Assaf,Ester Samuel-cahn
Yosef Rinott,Ester Samuel-cahn
Harold Sackrowitz,Ester Samuel-cahn
Wenceslao González-manteiga,César Sánchez-sellero
Bhramar Mukherjee,Brisa N. Sánchez
Daniel Peña,Ismael Sánchez
Charles Mcgilchrist,R. L. Sandland
Jorge Navarro,Carlos J. Sandoval
Jose M. Ruiz,Carlos J. Sandoval
Heleno Bolfarine,Mônica C. Sandoval
Denise A. Botter,Mônica C. Sandoval
Alan Gelfand,Huiyan Sang
Marc G. Genton,Huiyan Sang
Jianhua Huang,Huiyan Sang
Narayanaswamy Balakrishnan,Antonio Sanhueza
Víctor Leiva,Antonio Sanhueza
Herbert K. H. Lee,Bruno Sansó
Luis Pericchi,Bruno Sansó
Domingo Morales,L. Santamaría
Annie Millet,Marta Sanz-solé
David Nualart,Marta Sanz-solé
Felix Abramovich,Theofanis Sapatinas
Anestis Antoniadis,Theofanis Sapatinas
Italia De Feis,Theofanis Sapatinas
Marianna Pensky,Theofanis Sapatinas
Marie Chavent,Jérôme Saracco
Ali Gannoun,Jérôme Saracco
Stéphane Girard,Jérôme Saracco
Benoit Liquet,Jérôme Saracco
Hervé Cardot,Pascal Sarda
Christophe Crambes,Pascal Sarda
Frédéric Ferraty,Pascal Sarda
Alois Kneip,Pascal Sarda
Bradley Carlin,Daniel Sargent
Wei 1 Chen,Daniel Sargent
Debashis Ghosh,Daniel Sargent
Sumithra Mandrekar,Daniel Sargent
Trivellore Raghunathan,Daniel Sargent
Lindsay A. Renfro,Daniel Sargent
Debasis Kundu,Ammar M. Sarhan
Kashinath Chatterjee,Angshuman Sarkar
Ayanendranath Basu,Sahadeb Sarkar
Wenge Guo,Sanat K. Sarkar
Li 1 He,Sanat K. Sarkar
Dankmar Böhning,Jesus Sarol
Luigi Pace,Nicola Sartori
Alessandra Salvan,Nicola Sartori
Megu Ohtaki,Kenichi Satoh
Somnath Datta,Glen A. Satten
Ira M. Longini,Glen A. Satten
Douglas G. Altman,Willi Sauerbrei
Harald Binder,Willi Sauerbrei
Norbert Holländer,Willi Sauerbrei
Patrick Royston,Willi Sauerbrei
Víctor Leiva,Helton Saulo
Carolina Marchant,Helton Saulo
Amy Herring,Benjamin R. Saville
Henry W. Block,Thomas H. Savits
Francesco Bartolucci,Luisa Scaccia
David Dunson,Bruno Scarpa
Bruno Bassan,Marco Scarsini
Alfred Müller,Marco Scarsini
Yosef Rinott,Marco Scarsini
Yoav Freund,Robert E. Schapire
Cynthia Rudin,Robert E. Schapire
Michael Daniels,Daniel Scharfstein
James Robins,Daniel Scharfstein
Andrea Rotnitzky,Daniel Scharfstein
Giovanni Parmigiani,Robert B. Scharpf
Jianwen Cai,Douglas Schaubel
John D. Kalbfleisch,Douglas Schaubel
István Berkes,Johannes Schauer
Lajos Horváth,Johannes Schauer
Mark Meerschaert,Hans-peter Scheffler
Frank Eriksson,Thomas Scheike
Torben Martinussen,Thomas Scheike
Sonja Greven,Fabian Scheipl
Trivellore Raghunathan,Nathaniel Schenker
Donald B. Rubin,Nathaniel Schenker
Christian Genest,Mark Schervish
Joseph Kadane,Mark Schervish
J. R. Lockwood,Mark Schervish
Hira L. Koul,Anton Schick
Ursula U. Müller,Anton Schick
Hanxiang Peng,Anton Schick
Patrick Heagerty,Jonathan S. Schildcrout
Paul J. Rathouz,Jonathan S. Schildcrout
Paul S. Albert,Enrique Schisterman
Michelle Danaher,Enrique Schisterman
David Faraggi,Enrique Schisterman
Aiyi Liu,Enrique Schisterman
Robert H. Lyles,Enrique Schisterman
Emily M. Mitchell,Enrique Schisterman
Sunni L. Mumford,Enrique Schisterman
Neil J. Perkins,Enrique Schisterman
Benjamin Reiser,Enrique Schisterman
Sebastian Engelke,Martin Schlather
Tilmann Gneiting,Martin Schlather
Zakhar Kabluchko,Martin Schlather
Dankmar Böhning,Peter Schlattmann
E. Jacquelin Dietz,Peter Schlattmann
Benjamin Hofner,Matthias Schmid
Torsten Hothorn,Matthias Schmid
Thomas Kneib,Matthias Schmid
Sergej Potapov,Matthias Schmid
Tim Friede,Heinz Schmidli
Axel Munk,Johannes Schmidt-hieber
Hans-georg Müller,Thomas Schmitt
Erica E. M. Moodie,Mireille E. Schnitzer
Robert W. Platt,Mireille E. Schnitzer
Dianne M. Finkelstein,David Schoenfeld
Rick Durrett,Roberto H. Schonmann
Marcia Salzano,Roberto H. Schonmann
Niko Kaciroti,M. Anthony Schork
Trivellore Raghunathan,M. Anthony Schork
M. Anthony Schork,Nicholas J. Schork
Itai Benjamini,Oded Schramm
Russell Lyons,Oded Schramm
Yuval Peres,Oded Schramm
Patrick S. Carmack,William R. Schucany
Patrick Gerard,William R. Schucany
Richard F. Gunst,William R. Schucany
Robert W. Haley,William R. Schucany
Qihua Lin,William R. Schucany
William C. Parr,William R. Schucany
Lutz Dümbgen,Dominic Schuhmacher
Jan Beyersmann,Martin Schumacher
Harald Binder,Martin Schumacher
Thomas Gerds,Martin Schumacher
Erika Graf,Martin Schumacher
Norbert Holländer,Martin Schumacher
Manfred Olschewski,Martin Schumacher
Willi Sauerbrei,Martin Schumacher
Claudia Schmoor,Martin Schumacher
Walter T. Federer,Steven J. Schwager
Brent Coull,Joel Schwartz
Alexandros Gryparis,Joel Schwartz
James Carpenter,Guido Schwarzer
Gerta Rücker,Guido Schwarzer
Martin Schumacher,Guido Schwarzer
Katja Ickstadt,Holger Schwender
Yannan Jiang,Alastair Scott
Alan Lee,Alastair Scott
Thomas Lumley,Alastair Scott
John Neuhaus,Alastair Scott
Jon N. K. Rao,Alastair Scott
Stephan Sain,David W. Scott
Adrian Bowman,E. Marian Scott
Claire Ferguson,E. Marian Scott
Carlos Carvalho,James G. Scott
Nicholas Polson,James G. Scott
Don Hush,Clint Scovel
Andrew Copas,Shaun Seaman
Menelaos Pavlou,Shaun Seaman
Christos Koukouvinos,Jennifer Seberry
David Birkes,Justus Seely
Youngjo Lee,Justus Seely
Peter Bacchetti,Mark R. Segal
Axel Bücher,Johan Segers
John H. J. Einmahl,Johan Segers
Joseph Kadane,Teddy Seidenfeld
Mark Schervish,Teddy Seidenfeld
Theo Gasser,Burkhardt Seifert
Jürgen Kleffe,Burkhardt Seifert
Kung Yee Liang,Steve Self
Ross Prentice,Steve Self
Arthur P. Dempster,Murray R. Selwyn
Moulinath Banerjee,Bodhisattva Sen
Emilio Seijo,Bodhisattva Sen
Michael N. Boyd,Pranab Kumar Sen
Jianwen Cai,Pranab Kumar Sen
Pai-lien Chen,Pranab Kumar Sen
Jayanta K. Ghosh,Pranab Kumar Sen
Malay Ghosh,Pranab Kumar Sen
Jana Jurečková,Pranab Kumar Sen
Hiranmay Majumdar,Pranab Kumar Sen
Aluísio Pinheiro,Pranab Kumar Sen
Hildete P. Pinheiro,Pranab Kumar Sen
Jian-jian Ren,Pranab Kumar Sen
Ibrahim Salama,Pranab Kumar Sen
A. K. Md. E. Saleh,Pranab Kumar Sen
Chris Corcoran,Pralay Senchaudhuri
Cyrus Mehta,Pralay Senchaudhuri
Nitin Patel,Pralay Senchaudhuri
Tuhao Chen,Eugene Seneta
Richard Finlay,Eugene Seneta
Thomas Fung,Eugene Seneta
Dilip Madan,Eugene Seneta
Rahul Mukerjee,Samindranath Sengupta
Sujay Mukhuti,Samindranath Sengupta
Lorien S. Dalrymple,Damla Şentürk
Sandra M. Mohammed,Damla Şentürk
Hans-georg Müller,Damla Şentürk
Danh V. Nguyen,Damla Şentürk
Bruce Lindsay,Byungtae Seo
Yasunori Fujikoshi,Takashi Seo
Masashi Hyodo,Takashi Seo
Madan Puri,Munsup Seoh
Tasos C. Christofides,Robert Serfling
Paul Janssen,Robert Serfling
Satyaki Mazumder,Robert Serfling
Eduard Belitser,Paulo Serra
Geert Molenberghs,Jan Serroyen
Gérard Letac,Vanamamalai Seshadri
Narasinga Rao Chaganty,Jayaram Sethuraman
Myles Hollander,Jayaram Sethuraman
Frank Proschan,Jayaram Sethuraman
Ishwar Basawa,S. Sethuraman
Kōsei Iwase,Noriaki Setô
Nicola Sartori,Thomas A. Severini
Petter Laake,Joseph Sexton
Brian Reich,Benjamin Shaby
Duncan Lee,Gavin Shaddick
Ruth Salway,Gavin Shaddick
Erich L. Lehmann,Juliet Popper Shaffer
Ming-hui Chen,Arvind Shah
Joseph Ibrahim,Arvind Shah
Jianxin Lin,Arvind Shah
Joseph Romano,Azeem M. Shaikh
Baha-eldin Khaledi,Moshe Shaked
Asok K. Nanda,Moshe Shaked
Franco Pellerey,Moshe Shaked
Marco Scarsini,Moshe Shaked
Gaurav Garg,Shalabh
Neeraj Misra,Shalabh
Alan Hutson,Guogen Shan
Abdulhamid A. Alzaid,Damodar N. Shanbhag
E. B. Fosam,Damodar N. Shanbhag
C. Radhakrishna Rao,Damodar N. Shanbhag
Joseph Cavanaugh,Junfeng Shang
Guang Cheng,Zuofeng Shang
Moshe Shaked,J. George Shanthikumar
Yinzhong Chen,Jun Shao
Shein-chung Chow,Jun Shao
Bo Hu,Jun Shao
Quefeng Li,Jun Shao
Mari Palta,Jun Shao
Jon N. K. Rao,Jun Shao
Louis H. Y. Chen,Qi Man Shao
Ming-hui Chen,Qi Man Shao
Miklós Csörgő,Qi Man Shao
Xuming He,Qi Man Shao
Lajos Horváth,Qi Man Shao
Joseph Ibrahim,Qi Man Shao
Bingyi Jing,Qi Man Shao
Wenbo Li,Qi Man Shao
Weidong Liu,Qi Man Shao
Magda Peligrad,Qi Man Shao
Robert Lund,Qin Shao
Marjorie Hahn,Yongzhao Shao
Xin 1 Liu,Yongzhao Shao
Herold Dehling,Olimjon Sharipov
Kanchan Jain,Suresh Sharma
Chris Jackson,Linda Sharples
Thomas P. Hettmansperger,Simon Sheather
M. C. Jones,Simon Sheather
James S. Marron,Simon Sheather
Joseph Mckean,Simon Sheather
Joshua Naranjo,Simon Sheather
Ker Chau Li,Kerby Shedden
Arjun Gupta,Yo Sheena
Jianhua Huang,Haipeng Shen
Mihee Lee,Haipeng Shen
James S. Marron,Haipeng Shen
Shuyuan He,Junshan Shen
Shu-hui Hsieh,Pao-sheng Shen
Shen-ming Lee,Pao-sheng Shen
Thomas A. Louis,Wei Shen
Hsin-cheng Huang,Xiaotong Shen
Yufeng Liu,Xiaotong Shen
Wei 1 Pan,Xiaotong Shen
Zhengyan Lin,Yanfeng Shen
Jianwen Cai,Yu 1 Shen
Yi 1 Cheng,Yu 1 Shen
Jing Ning,Yu 1 Shen
Jing Qin,Yu 1 Shen
Ole Barndorff-nielsen,Neil Shephard
Peter Gilbert,Bryan E. Shepherd
Ross Prentice,Lianne Sheppard
Paul Fearnhead,Chris Sherlock
Gareth Roberts,Chris Sherlock
James A. Calvin,Michael Sherman
Edward Carlstein,Michael Sherman
Marc G. Genton,Michael Sherman
Yongtao 1 Guan,Michael Sherman
Bo 1 Li,Michael Sherman
Peng Bai,Lei 1 Shi
Gemai Chen,Lei 1 Shi
Ziqi Chen,Ningzhong Shi
Wei 1 Gao,Ningzhong Shi
Zhi Geng,Ningzhong Shi
Jianhua Guo,Ningzhong Shi
Xuming He,Peide Shi
Lindsay A. Renfro,Qian Shi
Daniel Sargent,Qian Shi
Baiqi Miao,Xiaoping 1 Shi
Joseph Ibrahim,Xiaoyan Shi
Nathalie Eisenbaum,Zhan Shi
Nina Gantert,Zhan Shi
Yueyun Hu,Zhan Shi
Davar Khoshnevisan,Zhan Shi
Mikhail Lifshits,Zhan Shi
Nicholas P. Jewell,Stephen Shiboski
Richard Johnson,Grace S. Shieh
Sikyum Lee,Jian Qing Shih
Paul S. Albert,Joanna Shih
Nilanjan Chatterjee,Joanna Shih
Michael P. Fay,Joanna Shih
Shou-en Lu,Joanna Shih
A. Lawrence Gould,Weichung J. Shih
Irving K. Hwang,Weichung J. Shih
Yong 1 Lin,Weichung J. Shih
Yong 2 Lin,Weichung J. Shih
Peter Ouyang,Weichung J. Shih
Hui Quan,Weichung J. Shih
Changha Hwang,Jooyong Shim
Sujong Kim,Jooyong Shim
Jaewon Lee,Jooyong Shim
Kōsei Iwase,Kunio Shimizu
Seng Huat Ong,Kunio Shimizu
Arthur Pewsey,Kunio Shimizu
Yasunori Fujikoshi,Ryoichi Shimizu
Eunju Hwang,Dongwan Shin
Jong Hyup Lee,Dongwan Shin
Oesook Lee,Dongwan Shin
Man-suk Oh,Dongwan Shin
Chul Gyu Park,Dongwan Shin
Sangun Park,Dongwan Shin
Soo Jung Park,Dongwan Shin
Taesung Park,Dongwan Shin
Sahadeb Sarkar,Dongwan Shin
Yogendra P. Chaubey,Esmaeil Shirazi
Robert Kohn,Tom Shively
Marc Aerts,Ziv Shkedy
Philippe Beutels,Ziv Shkedy
Christel Faes,Ziv Shkedy
Helena Geys,Ziv Shkedy
Niel Hens,Ziv Shkedy
Geert Molenberghs,Ziv Shkedy
Nikolay Bliznyuk,Christine Shoemaker
David Ruppert,Christine Shoemaker
Ciprian Crainiceanu,Haochang Shou
Allan Donner,Mohamed M. Shoukri
I. U. H. Mian,Mohamed M. Shoukri
Holger Dette,Petr Shpilev
Viatcheslav Melas,Petr Shpilev
Paramjit Gill,G. K. Shukla
Mahdi Alkhamisi,Ghazi Shukur
Ghadban Khalaf,Ghazi Shukur
B. M. Golam Kibria,Ghazi Shukur
Kristofer Månsson,Ghazi Shukur
Joseph Cavanaugh,Robert Shumway
Jessica Barrett,Fotios Siannis
Vern Farewell,Fotios Siannis
Amy Herring,Anna Maria Siega-riz
Barry James,David Siegmund
Kang James,David Siegmund
Moshe Pollak,David Siegmund
Joseph Mckean,Gerald Sievers
M. C. Jones,D. F. Signorini
Alan Gelfand,John A. Silander
Andrew Latimer,John A. Silander
Paul R. Rosenbaum,Jeffrey H. Silber
Edwin Ortega,Giovana Oliveira Silva
Felix Abramovich,Bernard W. Silverman
Iain Johnstone,Bernard W. Silverman
Zhidong Bai,Jack W. Silverstein
Richard Johnson,Songyong Sim
Davy Paindaveine,Miroslav Šiman
Abdelaati Daouia,Léopold Simar
Byeong U. Park,Léopold Simar
Wagner Barreto-souza,Alexandre B. Simas
Gauss M. Cordeiro,Alexandre B. Simas
Andréa V. Rocha,Alexandre B. Simas
Micha Mandel,Elisheva Simchen
Jerome Friedman,Noah Simon
T. Timothy Chen,Richard Simon
Kevin K. Dobbin,Richard Simon
Susan Ellenberg,Richard Simon
David Faraggi,Richard Simon
Edward L. Korn,Richard Simon
Lisa M. Mcshane,Richard Simon
Paul S. Albert,Bruce Simons-morton
Sándor Csörgő,Gordon Simons
Christos Koukouvinos,Dimitris E. Simos
Kalliopi Mylona,Dimitris E. Simos
Finn Lindgren,Daniel Simpson
Håvard Rue,Daniel Simpson
Raymond Carroll,Douglas Simpson
Xuming He,Douglas Simpson
Lloyd J. Edwards,Sean L. Simpson
Keith E. Muller,Sean L. Simpson
Michael J. Schell,Bahadur Singh
Amarjot Kaur,Harshinder Singh
Paul Kvam,Harshinder Singh
Neeraj Misra,Harshinder Singh
Asok K. Nanda,Harshinder Singh
Allan Sampson,Harshinder Singh
Gutti Jogesh Babu,Kesar Singh
Regina Liu,Kesar Singh
Aloke Dey,Murari Singh
Sudhir Gupta,Murari Singh
Manohar Aggarwal,Poonam Singh
Anthony Desmond,Radhey S. Singh
Xuewen Lu,Radhey S. Singh
B. Prasad,Radhey S. Singh
Thomas Dean,Sumeetpal S. Singh
Arnaud Doucet,Sumeetpal S. Singh
Ajay Jasra,Sumeetpal S. Singh
S. Hedayat,Bikas Sinha
Samindranath Sengupta,Bikas Sinha
Kirti R. Shah,Bikas Sinha
Malay Ghosh,Bimal Sinha
Thomas Mathew,Bimal Sinha
Bikas Sinha,Bimal Sinha
Dipankar 1 Bandyopadhyay,Debajyoti Sinha
Ming-hui Chen,Debajyoti Sinha
Dipak Dey,Debajyoti Sinha
Garrett Fitzmaurice,Debajyoti Sinha
Atul A. Gawande,Debajyoti Sinha
Joseph Ibrahim,Debajyoti Sinha
Steven Lipshultz,Debajyoti Sinha
Stuart Lipsitz,Debajyoti Sinha
Adriano Polpo,Debajyoti Sinha
Sanpei Kageyama,Kishore Sinha
Malay Ghosh,Samiran Sinha
Tapabrata Maiti,Samiran Sinha
Bhramar Mukherjee,Samiran Sinha
Hannu Oja,Seija Sirkiä
Sudipto Banerjee,C. F. Sirmans
Alan Gelfand,C. F. Sirmans
Derek Bingham,Randy Sitter
Jiahua Chen,Randy Sitter
C. Devon Lin,Randy Sitter
Wilson W. Lu,Randy Sitter
